ID,Año_del_hecho,Sexo_de_la_victima,Grupo_de_edad_de_la_victima,Mes_del_hecho,Dia_del_hecho,Departamento_del_hecho,Municipio_del_hecho,Lesion_fatal_de_causa_externa,Estado
56,2016,Hombre,(30 a 34),Enero,Domingo,Santander,Barrancabermeja,Violenta - Homicidios,Datos definitivos
57,2016,Hombre,(30 a 34),Enero,Martes,Santander,Barrancabermeja,Violenta - Homicidios,Datos definitivos
58,2016,Hombre,(65 a 69),Enero,Lunes,Santander,Landázuri,Violenta - Homicidios,Datos definitivos
59,2016,Hombre,(20 a 24),Enero,Sábado,Santander,Barrancabermeja,Violenta - Homicidios,Datos definitivos
60,2016,Mujer,(50 a 54),Enero,Viernes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
61,2016,Hombre,(25 a 29),Enero,Sábado,Atlántico,Soledad,Violenta - Homicidios,Datos definitivos
62,2016,Hombre,(25 a 29),Enero,Domingo,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
63,2016,Hombre,(30 a 34),Enero,Domingo,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
64,2016,Hombre,(18 a 19),Enero,Lunes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
65,2016,Mujer,(25 a 29),Enero,Domingo,Magdalena,Santa Marta,Violenta - Homicidios,Datos definitivos
66,2016,Hombre,(05 a 09),Enero,Domingo,Magdalena,Santa Marta,Violenta - Homicidios,Datos definitivos
67,2016,Hombre,(30 a 34),Enero,Lunes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
68,2016,Hombre,(15 a 17),Enero,Lunes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
69,2016,Hombre,(25 a 29),Enero,Lunes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
70,2016,Hombre,(30 a 34),Enero,Miércoles,Atlántico,Santo Tomás,Violenta - Homicidios,Datos definitivos
71,2016,Hombre,(20 a 24),Enero,Miércoles,Atlántico,Santo Tomás,Violenta - Homicidios,Datos definitivos
72,2016,Hombre,(25 a 29),Enero,Jueves,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
73,2016,Hombre,(35 a 39),Enero,Viernes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
74,2016,Hombre,(30 a 34),Enero,Sábado,Atlántico,Soledad,Violenta - Homicidios,Datos definitivos
75,2016,Hombre,(30 a 34),Enero,Domingo,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
76,2016,Hombre,(20 a 24),Enero,Domingo,Atlántico,Soledad,Violenta - Homicidios,Datos definitivos
77,2016,Hombre,(45 a 49),Enero,Martes,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
78,2016,Hombre,(18 a 19),Enero,Jueves,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
79,2016,Hombre,(35 a 39),Enero,Jueves,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
80,2016,Mujer,(60 a 64),Enero,Jueves,Atlántico,Barranquilla,Violenta - Homicidios,Datos definitivos
81,2016,Hombre,(15 a 17),Enero,Jueves,Magdalena,El Banco,Violenta - Homicidios,Datos definitivos
